No,Section,Handle,Title,Type,Colours,Shot,Filename,Position
11,Street / Drop 01,nova-vertex-tee,NOVA Vertex Tee,T-Shirt,Off White / Black / Sand,Detail / third shot,nova-vertex-tee-03-detail.png,3
12,Street / Drop 01,nova-ridge-tee,NOVA Ridge Tee,T-Shirt,Sand / Off White / Black,Studio product,nova-ridge-tee-01-studio.png,1
12,Street / Drop 01,nova-ridge-tee,NOVA Ridge Tee,T-Shirt,Sand / Off White / Black,On model,nova-ridge-tee-02-model.png,2
12,Street / Drop 01,nova-ridge-tee,NOVA Ridge Tee,T-Shirt,Sand / Off White / Black,Detail / third shot,nova-ridge-tee-03-detail.png,3
13,Street / Drop 01,nova-ember-tee,NOVA Ember Tee,T-Shirt,Black / Sand,Studio product,nova-ember-tee-01-studio.png,1
13,Street / Drop 01,nova-ember-tee,NOVA Ember Tee,T-Shirt,Black / Sand,On model,nova-ember-tee-02-model.png,2
13,Street / Drop 01,nova-ember-tee,NOVA Ember Tee,T-Shirt,Black / Sand,Detail / third shot,nova-ember-tee-03-detail.png,3
14,Street / Drop 01,nova-slate-tee,NOVA Slate Tee,T-Shirt,Off White / Black,Studio product,nova-slate-tee-01-studio.png,1
14,Street / Drop 01,nova-slate-tee,NOVA Slate Tee,T-Shirt,Off White / Black,On model,nova-slate-tee-02-model.png,2
14,Street / Drop 01,nova-slate-tee,NOVA Slate Tee,T-Shirt,Off White / Black,Detail / third shot,nova-slate-tee-03-detail.png,3
15,Street / Drop 01,nova-utility-cargo,NOVA Utility Cargo,Trouser,Black / Sand / Charcoal,Studio product,nova-utility-cargo-01-studio.png,1
15,Street / Drop 01,nova-utility-cargo,NOVA Utility Cargo,Trouser,Black / Sand / Charcoal,On model,nova-utility-cargo-02-model.png,2
15,Street / Drop 01,nova-utility-cargo,NOVA Utility Cargo,Trouser,Black / Sand / Charcoal,Detail / third shot,nova-utility-cargo-03-detail.png,3
16,Street / Drop 01,nova-kinetic-cargo,NOVA Kinetic Cargo,Trouser,Black / Sand / Charcoal,Studio product,nova-kinetic-cargo-01-studio.png,1
16,Street / Drop 01,nova-kinetic-cargo,NOVA Kinetic Cargo,Trouser,Black / Sand / Charcoal,On model,nova-kinetic-cargo-02-model.png,2
16,Street / Drop 01,nova-kinetic-cargo,NOVA Kinetic Cargo,Trouser,Black / Sand / Charcoal,Detail / third shot,nova-kinetic-cargo-03-detail.png,3
17,Street / Drop 01,nova-cipher-cargo,NOVA Cipher Cargo,Trouser,Olive / Black / Sand,Studio product,nova-cipher-cargo-01-studio.png,1
17,Street / Drop 01,nova-cipher-cargo,NOVA Cipher Cargo,Trouser,Olive / Black / Sand,On model,nova-cipher-cargo-02-model.png,2
17,Street / Drop 01,nova-cipher-cargo,NOVA Cipher Cargo,Trouser,Olive / Black / Sand,Detail / third shot,nova-cipher-cargo-03-detail.png,3
18,Street / Drop 01,nova-meridian-cargo,NOVA Meridian Cargo,Trouser,Sand / Charcoal,Studio product,nova-meridian-cargo-01-studio.png,1
18,Street / Drop 01,nova-meridian-cargo,NOVA Meridian Cargo,Trouser,Sand / Charcoal,On model,nova-meridian-cargo-02-model.png,2
18,Street / Drop 01,nova-meridian-cargo,NOVA Meridian Cargo,Trouser,Sand / Charcoal,Detail / third shot,nova-meridian-cargo-03-detail.png,3
19,Street / Drop 01,nova-aurora-cargo,NOVA Aurora Cargo,Trouser,Olive / Black / Sand,Studio product,nova-aurora-cargo-01-studio.png,1
19,Street / Drop 01,nova-aurora-cargo,NOVA Aurora Cargo,Trouser,Olive / Black / Sand,On model,nova-aurora-cargo-02-model.png,2
19,Street / Drop 01,nova-aurora-cargo,NOVA Aurora Cargo,Trouser,Olive / Black / Sand,Detail / third shot,nova-aurora-cargo-03-detail.png,3
20,Street / Drop 01,nova-solace-cargo,NOVA Solace Cargo,Trouser,Charcoal / Olive,Studio product,nova-solace-cargo-01-studio.png,1
20,Street / Drop 01,nova-solace-cargo,NOVA Solace Cargo,Trouser,Charcoal / Olive,On model,nova-solace-cargo-02-model.png,2
20,Street / Drop 01,nova-solace-cargo,NOVA Solace Cargo,Trouser,Charcoal / Olive,Detail / third shot,nova-solace-cargo-03-detail.png,3
21,Street / Drop 01,nova-tech-bomber,NOVA Tech Bomber,Jacket,Olive / Ink / Charcoal,Studio product,nova-tech-bomber-01-studio.png,1
21,Street / Drop 01,nova-tech-bomber,NOVA Tech Bomber,Jacket,Olive / Ink / Charcoal,On model,nova-tech-bomber-02-model.png,2
21,Street / Drop 01,nova-tech-bomber,NOVA Tech Bomber,Jacket,Olive / Ink / Charcoal,Detail / third shot,nova-tech-bomber-03-detail.png,3
22,Street / Drop 01,nova-quarry-bomber,NOVA Quarry Bomber,Jacket,Charcoal / Olive / Ink,Studio product,nova-quarry-bomber-01-studio.png,1
22,Street / Drop 01,nova-quarry-bomber,NOVA Quarry Bomber,Jacket,Charcoal / Olive / Ink,On model,nova-quarry-bomber-02-model.png,2
22,Street / Drop 01,nova-quarry-bomber,NOVA Quarry Bomber,Jacket,Charcoal / Olive / Ink,Detail / third shot,nova-quarry-bomber-03-detail.png,3
23,Street / Drop 01,nova-lumen-bomber,NOVA Lumen Bomber,Jacket,Ink / Charcoal,Studio product,nova-lumen-bomber-01-studio.png,1
23,Street / Drop 01,nova-lumen-bomber,NOVA Lumen Bomber,Jacket,Ink / Charcoal,On model,nova-lumen-bomber-02-model.png,2
23,Street / Drop 01,nova-lumen-bomber,NOVA Lumen Bomber,Jacket,Ink / Charcoal,Detail / third shot,nova-lumen-bomber-03-detail.png,3
24,Street / Drop 01,nova-pivot-bomber,NOVA Pivot Bomber,Jacket,Ink / Charcoal / Olive,Studio product,nova-pivot-bomber-01-studio.png,1
24,Street / Drop 01,nova-pivot-bomber,NOVA Pivot Bomber,Jacket,Ink / Charcoal / Olive,On model,nova-pivot-bomber-02-model.png,2
24,Street / Drop 01,nova-pivot-bomber,NOVA Pivot Bomber,Jacket,Ink / Charcoal / Olive,Detail / third shot,nova-pivot-bomber-03-detail.png,3
25,Minimal Essentials,nova-anchor-tee,NOVA Anchor Tee,T-Shirt,Off White / Bone / Grey,Studio product,nova-anchor-tee-01-studio.png,1
25,Minimal Essentials,nova-anchor-tee,NOVA Anchor Tee,T-Shirt,Off White / Bone / Grey,On model,nova-anchor-tee-02-model.png,2
25,Minimal Essentials,nova-anchor-tee,NOVA Anchor Tee,T-Shirt,Off White / Bone / Grey,Detail / third shot,nova-anchor-tee-03-detail.png,3
26,Minimal Essentials,nova-basin-tee,NOVA Basin Tee,T-Shirt,Off White / Bone,Studio product,nova-basin-tee-01-studio.png,1
26,Minimal Essentials,nova-basin-tee,NOVA Basin Tee,T-Shirt,Off White / Bone,On model,nova-basin-tee-02-model.png,2
26,Minimal Essentials,nova-basin-tee,NOVA Basin Tee,T-Shirt,Off White / Bone,Detail / third shot,nova-basin-tee-03-detail.png,3
27,Minimal Essentials,nova-cadence-tee,NOVA Cadence Tee,T-Shirt,Off White / Bone / Grey,Studio product,nova-cadence-tee-01-studio.png,1
27,Minimal Essentials,nova-cadence-tee,NOVA Cadence Tee,T-Shirt,Off White / Bone / Grey,On model,nova-cadence-tee-02-model.png,2
27,Minimal Essentials,nova-cadence-tee,NOVA Cadence Tee,T-Shirt,Off White / Bone / Grey,Detail / third shot,nova-cadence-tee-03-detail.png,3
28,Minimal Essentials,nova-delta-tee,NOVA Delta Tee,T-Shirt,Off White / Bone / Grey,Studio product,nova-delta-tee-01-studio.png,1
28,Minimal Essentials,nova-delta-tee,NOVA Delta Tee,T-Shirt,Off White / Bone / Grey,On model,nova-delta-tee-02-model.png,2
28,Minimal Essentials,nova-delta-tee,NOVA Delta Tee,T-Shirt,Off White / Bone / Grey,Detail / third shot,nova-delta-tee-03-detail.png,3
29,Minimal Essentials,nova-echo-tee,NOVA Echo Tee,T-Shirt,Grey / Off White,Studio product,nova-echo-tee-01-studio.png,1
29,Minimal Essentials,nova-echo-tee,NOVA Echo Tee,T-Shirt,Grey / Off White,On model,nova-echo-tee-02-model.png,2
29,Minimal Essentials,nova-echo-tee,NOVA Echo Tee,T-Shirt,Grey / Off White,Detail / third shot,nova-echo-tee-03-detail.png,3
30,Minimal Essentials,nova-forge-tee,NOVA Forge Tee,T-Shirt,Off White / Bone / Grey,Studio product,nova-forge-tee-01-studio.png,1
30,Minimal Essentials,nova-forge-tee,NOVA Forge Tee,T-Shirt,Off White / Bone / Grey,On model,nova-forge-tee-02-model.png,2
30,Minimal Essentials,nova-forge-tee,NOVA Forge Tee,T-Shirt,Off White / Bone / Grey,Detail / third shot,nova-forge-tee-03-detail.png,3
31,Minimal Essentials,nova-essential-shirt,NOVA Essential Shirt,Shirt,Bone / Slate / Off White,Studio product,nova-essential-shirt-01-studio.png,1
31,Minimal Essentials,nova-essential-shirt,NOVA Essential Shirt,Shirt,Bone / Slate / Off White,On model,nova-essential-shirt-02-model.png,2
31,Minimal Essentials,nova-essential-shirt,NOVA Essential Shirt,Shirt,Bone / Slate / Off White,Detail / third shot,nova-essential-shirt-03-detail.png,3
32,Minimal Essentials,nova-grain-shirt,NOVA Grain Shirt,Shirt,Slate / Off White / Bone,Studio product,nova-grain-shirt-01-studio.png,1
32,Minimal Essentials,nova-grain-shirt,NOVA Grain Shirt,Shirt,Slate / Off White / Bone,On model,nova-grain-shirt-02-model.png,2
32,Minimal Essentials,nova-grain-shirt,NOVA Grain Shirt,Shirt,Slate / Off White / Bone,Detail / third shot,nova-grain-shirt-03-detail.png,3
33,Minimal Essentials,nova-harbour-shirt,NOVA Harbour Shirt,Shirt,Off White / Bone,Studio product,nova-harbour-shirt-01-studio.png,1
33,Minimal Essentials,nova-harbour-shirt,NOVA Harbour Shirt,Shirt,Off White / Bone,On model,nova-harbour-shirt-02-model.png,2
33,Minimal Essentials,nova-harbour-shirt,NOVA Harbour Shirt,Shirt,Off White / Bone,Detail / third shot,nova-harbour-shirt-03-detail.png,3
34,Minimal Essentials,nova-index-shirt,NOVA Index Shirt,Shirt,Slate / Off White,Studio product,nova-index-shirt-01-studio.png,1
34,Minimal Essentials,nova-index-shirt,NOVA Index Shirt,Shirt,Slate / Off White,On model,nova-index-shirt-02-model.png,2
34,Minimal Essentials,nova-index-shirt,NOVA Index Shirt,Shirt,Slate / Off White,Detail / third shot,nova-index-shirt-03-detail.png,3
35,Minimal Essentials,nova-junction-shirt,NOVA Junction Shirt,Shirt,Bone / Slate,Studio product,nova-junction-shirt-01-studio.png,1
35,Minimal Essentials,nova-junction-shirt,NOVA Junction Shirt,Shirt,Bone / Slate,On model,nova-junction-shirt-02-model.png,2
35,Minimal Essentials,nova-junction-shirt,NOVA Junction Shirt,Shirt,Bone / Slate,Detail / third shot,nova-junction-shirt-03-detail.png,3
36,Minimal Essentials,nova-kestrel-shirt,NOVA Kestrel Shirt,Shirt,Off White / Bone / Slate,Studio product,nova-kestrel-shirt-01-studio.png,1
36,Minimal Essentials,nova-kestrel-shirt,NOVA Kestrel Shirt,Shirt,Off White / Bone / Slate,On model,nova-kestrel-shirt-02-model.png,2
36,Minimal Essentials,nova-kestrel-shirt,NOVA Kestrel Shirt,Shirt,Off White / Bone / Slate,Detail / third shot,nova-kestrel-shirt-03-detail.png,3
37,Minimal Essentials,nova-everyday-trouser,NOVA Everyday Trouser,Trouser,Sand / Black,Studio product,nova-everyday-trouser-01-studio.png,1
37,Minimal Essentials,nova-everyday-trouser,NOVA Everyday Trouser,Trouser,Sand / Black,On model,nova-everyday-trouser-02-model.png,2
37,Minimal Essentials,nova-everyday-trouser,NOVA Everyday Trouser,Trouser,Sand / Black,Detail / third shot,nova-everyday-trouser-03-detail.png,3
38,Minimal Essentials,nova-lattice-trouser,NOVA Lattice Trouser,Trouser,Black / Charcoal / Sand,Studio product,nova-lattice-trouser-01-studio.png,1
38,Minimal Essentials,nova-lattice-trouser,NOVA Lattice Trouser,Trouser,Black / Charcoal / Sand,On model,nova-lattice-trouser-02-model.png,2
38,Minimal Essentials,nova-lattice-trouser,NOVA Lattice Trouser,Trouser,Black / Charcoal / Sand,Detail / third shot,nova-lattice-trouser-03-detail.png,3
39,Minimal Essentials,nova-mantle-trouser,NOVA Mantle Trouser,Trouser,Sand / Black,Studio product,nova-mantle-trouser-01-studio.png,1
39,Minimal Essentials,nova-mantle-trouser,NOVA Mantle Trouser,Trouser,Sand / Black,On model,nova-mantle-trouser-02-model.png,2
39,Minimal Essentials,nova-mantle-trouser,NOVA Mantle Trouser,Trouser,Sand / Black,Detail / third shot,nova-mantle-trouser-03-detail.png,3
40,Minimal Essentials,nova-nadir-trouser,NOVA Nadir Trouser,Trouser,Sand / Black / Charcoal,Studio product,nova-nadir-trouser-01-studio.png,1
40,Minimal Essentials,nova-nadir-trouser,NOVA Nadir Trouser,Trouser,Sand / Black / Charcoal,On model,nova-nadir-trouser-02-model.png,2
40,Minimal Essentials,nova-nadir-trouser,NOVA Nadir Trouser,Trouser,Sand / Black / Charcoal,Detail / third shot,nova-nadir-trouser-03-detail.png,3
41,Minimal Essentials,nova-orbit-trouser,NOVA Orbit Trouser,Trouser,Black / Charcoal,Studio product,nova-orbit-trouser-01-studio.png,1
41,Minimal Essentials,nova-orbit-trouser,NOVA Orbit Trouser,Trouser,Black / Charcoal,On model,nova-orbit-trouser-02-model.png,2
41,Minimal Essentials,nova-orbit-trouser,NOVA Orbit Trouser,Trouser,Black / Charcoal,Detail / third shot,nova-orbit-trouser-03-detail.png,3
42,Minimal Essentials,nova-parallel-trouser,NOVA Parallel Trouser,Trouser,Charcoal / Sand / Black,Studio product,nova-parallel-trouser-01-studio.png,1
42,Minimal Essentials,nova-parallel-trouser,NOVA Parallel Trouser,Trouser,Charcoal / Sand / Black,On model,nova-parallel-trouser-02-model.png,2
42,Minimal Essentials,nova-parallel-trouser,NOVA Parallel Trouser,Trouser,Charcoal / Sand / Black,Detail / third shot,nova-parallel-trouser-03-detail.png,3
43,Minimal Essentials,nova-quartz-hoodie,NOVA Quartz Hoodie,Hoodie,Bone / Grey,Studio product,nova-quartz-hoodie-01-studio.png,1
43,Minimal Essentials,nova-quartz-hoodie,NOVA Quartz Hoodie,Hoodie,Bone / Grey,On model,nova-quartz-hoodie-02-model.png,2
43,Minimal Essentials,nova-quartz-hoodie,NOVA Quartz Hoodie,Hoodie,Bone / Grey,Detail / third shot,nova-quartz-hoodie-03-detail.png,3
44,Minimal Essentials,nova-relay-hoodie,NOVA Relay Hoodie,Hoodie,Bone / Grey,Studio product,nova-relay-hoodie-01-studio.png,1
44,Minimal Essentials,nova-relay-hoodie,NOVA Relay Hoodie,Hoodie,Bone / Grey,On model,nova-relay-hoodie-02-model.png,2
44,Minimal Essentials,nova-relay-hoodie,NOVA Relay Hoodie,Hoodie,Bone / Grey,Detail / third shot,nova-relay-hoodie-03-detail.png,3
45,Minimal Essentials,nova-summit-hoodie,NOVA Summit Hoodie,Hoodie,Bone / Grey,Studio product,nova-summit-hoodie-01-studio.png,1
45,Minimal Essentials,nova-summit-hoodie,NOVA Summit Hoodie,Hoodie,Bone / Grey,On model,nova-summit-hoodie-02-model.png,2
45,Minimal Essentials,nova-summit-hoodie,NOVA Summit Hoodie,Hoodie,Bone / Grey,Detail / third shot,nova-summit-hoodie-03-detail.png,3
46,Active / Train,nova-performance-set,NOVA Performance Set,Activewear,Slate / Charcoal / Black,Studio product,nova-performance-set-01-studio.png,1
46,Active / Train,nova-performance-set,NOVA Performance Set,Activewear,Slate / Charcoal / Black,On model,nova-performance-set-02-model.png,2
46,Active / Train,nova-performance-set,NOVA Performance Set,Activewear,Slate / Charcoal / Black,Detail / third shot,nova-performance-set-03-detail.png,3
47,Active / Train,nova-tessellate-performance-set,NOVA Tessellate Performance Set,Activewear,Black / Slate / Charcoal,Studio product,nova-tessellate-performance-set-01-studio.png,1
47,Active / Train,nova-tessellate-performance-set,NOVA Tessellate Performance Set,Activewear,Black / Slate / Charcoal,On model,nova-tessellate-performance-set-02-model.png,2
47,Active / Train,nova-tessellate-performance-set,NOVA Tessellate Performance Set,Activewear,Black / Slate / Charcoal,Detail / third shot,nova-tessellate-performance-set-03-detail.png,3
48,Active / Train,nova-umbra-performance-set,NOVA Umbra Performance Set,Activewear,Charcoal / Black,Studio product,nova-umbra-performance-set-01-studio.png,1
48,Active / Train,nova-umbra-performance-set,NOVA Umbra Performance Set,Activewear,Charcoal / Black,On model,nova-umbra-performance-set-02-model.png,2
48,Active / Train,nova-umbra-performance-set,NOVA Umbra Performance Set,Activewear,Charcoal / Black,Detail / third shot,nova-umbra-performance-set-03-detail.png,3
49,Active / Train,nova-vantage-performance-set,NOVA Vantage Performance Set,Activewear,Slate / Charcoal / Black,Studio product,nova-vantage-performance-set-01-studio.png,1
49,Active / Train,nova-vantage-performance-set,NOVA Vantage Performance Set,Activewear,Slate / Charcoal / Black,On model,nova-vantage-performance-set-02-model.png,2
49,Active / Train,nova-vantage-performance-set,NOVA Vantage Performance Set,Activewear,Slate / Charcoal / Black,Detail / third shot,nova-vantage-performance-set-03-detail.png,3
50,Active / Train,nova-warden-performance-set,NOVA Warden Performance Set,Activewear,Slate / Charcoal,Studio product,nova-warden-performance-set-01-studio.png,1
50,Active / Train,nova-warden-performance-set,NOVA Warden Performance Set,Activewear,Slate / Charcoal,On model,nova-warden-performance-set-02-model.png,2
50,Active / Train,nova-warden-performance-set,NOVA Warden Performance Set,Activewear,Slate / Charcoal,Detail / third shot,nova-warden-performance-set-03-detail.png,3
51,Active / Train,nova-axis-performance-set,NOVA Axis Performance Set,Activewear,Charcoal / Black,Studio product,nova-axis-performance-set-01-studio.png,1
51,Active / Train,nova-axis-performance-set,NOVA Axis Performance Set,Activewear,Charcoal / Black,On model,nova-axis-performance-set-02-model.png,2
51,Active / Train,nova-axis-performance-set,NOVA Axis Performance Set,Activewear,Charcoal / Black,Detail / third shot,nova-axis-performance-set-03-detail.png,3
52,Active / Train,nova-beacon-performance-set,NOVA Beacon Performance Set,Activewear,Slate / Charcoal / Black,Studio product,nova-beacon-performance-set-01-studio.png,1
52,Active / Train,nova-beacon-performance-set,NOVA Beacon Performance Set,Activewear,Slate / Charcoal / Black,On model,nova-beacon-performance-set-02-model.png,2
52,Active / Train,nova-beacon-performance-set,NOVA Beacon Performance Set,Activewear,Slate / Charcoal / Black,Detail / third shot,nova-beacon-performance-set-03-detail.png,3
53,Active / Train,nova-contour-tee,NOVA Contour Tee,T-Shirt,Black / Slate / Grey,Studio product,nova-contour-tee-01-studio.png,1
53,Active / Train,nova-contour-tee,NOVA Contour Tee,T-Shirt,Black / Slate / Grey,On model,nova-contour-tee-02-model.png,2
53,Active / Train,nova-contour-tee,NOVA Contour Tee,T-Shirt,Black / Slate / Grey,Detail / third shot,nova-contour-tee-03-detail.png,3
54,Active / Train,nova-datum-tee,NOVA Datum Tee,T-Shirt,Black / Slate,Studio product,nova-datum-tee-01-studio.png,1
54,Active / Train,nova-datum-tee,NOVA Datum Tee,T-Shirt,Black / Slate,On model,nova-datum-tee-02-model.png,2
54,Active / Train,nova-datum-tee,NOVA Datum Tee,T-Shirt,Black / Slate,Detail / third shot,nova-datum-tee-03-detail.png,3
55,Active / Train,nova-element-tee,NOVA Element Tee,T-Shirt,Grey / Black / Slate,Studio product,nova-element-tee-01-studio.png,1
55,Active / Train,nova-element-tee,NOVA Element Tee,T-Shirt,Grey / Black / Slate,On model,nova-element-tee-02-model.png,2
55,Active / Train,nova-element-tee,NOVA Element Tee,T-Shirt,Grey / Black / Slate,Detail / third shot,nova-element-tee-03-detail.png,3
56,Active / Train,nova-fathom-tee,NOVA Fathom Tee,T-Shirt,Grey / Black,Studio product,nova-fathom-tee-01-studio.png,1
56,Active / Train,nova-fathom-tee,NOVA Fathom Tee,T-Shirt,Grey / Black,On model,nova-fathom-tee-02-model.png,2
56,Active / Train,nova-fathom-tee,NOVA Fathom Tee,T-Shirt,Grey / Black,Detail / third shot,nova-fathom-tee-03-detail.png,3
57,Active / Train,nova-gradient-trouser,NOVA Gradient Trouser,Trouser,Charcoal / Black,Studio product,nova-gradient-trouser-01-studio.png,1
57,Active / Train,nova-gradient-trouser,NOVA Gradient Trouser,Trouser,Charcoal / Black,On model,nova-gradient-trouser-02-model.png,2
57,Active / Train,nova-gradient-trouser,NOVA Gradient Trouser,Trouser,Charcoal / Black,Detail / third shot,nova-gradient-trouser-03-detail.png,3
58,Active / Train,nova-horizon-trouser,NOVA Horizon Trouser,Trouser,Charcoal / Black,Studio product,nova-horizon-trouser-01-studio.png,1
58,Active / Train,nova-horizon-trouser,NOVA Horizon Trouser,Trouser,Charcoal / Black,On model,nova-horizon-trouser-02-model.png,2
58,Active / Train,nova-horizon-trouser,NOVA Horizon Trouser,Trouser,Charcoal / Black,Detail / third shot,nova-horizon-trouser-03-detail.png,3
59,Active / Train,nova-inlet-trouser,NOVA Inlet Trouser,Trouser,Charcoal / Black,Studio product,nova-inlet-trouser-01-studio.png,1
59,Active / Train,nova-inlet-trouser,NOVA Inlet Trouser,Trouser,Charcoal / Black,On model,nova-inlet-trouser-02-model.png,2
59,Active / Train,nova-inlet-trouser,NOVA Inlet Trouser,Trouser,Charcoal / Black,Detail / third shot,nova-inlet-trouser-03-detail.png,3
60,Luxury / Tailored,nova-structured-jacket,NOVA Structured Jacket,Jacket,Black / Slate / Ink,Studio product,nova-structured-jacket-01-studio.png,1
60,Luxury / Tailored,nova-structured-jacket,NOVA Structured Jacket,Jacket,Black / Slate / Ink,On model,nova-structured-jacket-02-model.png,2
60,Luxury / Tailored,nova-structured-jacket,NOVA Structured Jacket,Jacket,Black / Slate / Ink,Detail / third shot,nova-structured-jacket-03-detail.png,3
61,Luxury / Tailored,nova-juniper-jacket,NOVA Juniper Jacket,Jacket,Ink / Black / Slate,Studio product,nova-juniper-jacket-01-studio.png,1
61,Luxury / Tailored,nova-juniper-jacket,NOVA Juniper Jacket,Jacket,Ink / Black / Slate,On model,nova-juniper-jacket-02-model.png,2
61,Luxury / Tailored,nova-juniper-jacket,NOVA Juniper Jacket,Jacket,Ink / Black / Slate,Detail / third shot,nova-juniper-jacket-03-detail.png,3
62,Luxury / Tailored,nova-keystone-jacket,NOVA Keystone Jacket,Jacket,Ink / Black,Studio product,nova-keystone-jacket-01-studio.png,1
62,Luxury / Tailored,nova-keystone-jacket,NOVA Keystone Jacket,Jacket,Ink / Black,On model,nova-keystone-jacket-02-model.png,2
62,Luxury / Tailored,nova-keystone-jacket,NOVA Keystone Jacket,Jacket,Ink / Black,Detail / third shot,nova-keystone-jacket-03-detail.png,3
63,Luxury / Tailored,nova-ledger-jacket,NOVA Ledger Jacket,Jacket,Black / Slate,Studio product,nova-ledger-jacket-01-studio.png,1
63,Luxury / Tailored,nova-ledger-jacket,NOVA Ledger Jacket,Jacket,Black / Slate,On model,nova-ledger-jacket-02-model.png,2
